,train_mae,train_rmse,val_mae,val_rmse
0,0.6669921315331974,0.8875711776928301,0.5171982761352293,0.7531016980736561
1,0.5630908339795931,0.7565342895817873,0.41790246915432716,0.6068944343465444
2,0.4616315087801974,0.6331541498587081,0.3498464471870853,0.521714002218025
3,0.42260232693712474,0.589936201276523,0.3238507393867739,0.4914264337143081
4,0.4023875353481848,0.5668183547909973,0.3065555273525177,0.46921448613475114
5,0.38502244658313445,0.5467614144198549,0.2914177828258084,0.4495203773795067
6,0.36996278152779233,0.5284197301797857,0.2785327963290676,0.4308273519851356
7,0.35522497763656113,0.5102413499256686,0.26635732093165,0.4134022984851696
8,0.3422701578464866,0.4934691588730382,0.2549147375168339,0.3973686862230451
9,0.33088839445875284,0.47917525340591893,0.24509573607675492,0.3843465715255548
10,0.32133988721269957,0.4662396737498508,0.23794347985136893,0.37466615046273005
11,0.31352299451828003,0.455924970879173,0.2327669029754977,0.3677335054118068
12,0.3078857551158314,0.44904467551817395,0.2280807485503535,0.36213464596655226
13,0.3024357192113366,0.44189930014500417,0.22539924229345015,0.3579162864393428
14,0.2993052144285659,0.43860625714627477,0.2213875269216876,0.35412494563281727
15,0.2956825212133882,0.434328099519669,0.2197423156711363,0.35224452415194457
16,0.2932677820254939,0.4318202173105976,0.21834933349201757,0.3498497705499802
17,0.29052956493247845,0.4285159516721332,0.2163936728912015,0.3482458787502681
18,0.2880385087829241,0.4256538533736618,0.21668661457877006,0.347811685597168
19,0.2861146409186959,0.42358333108997687,0.2141982562118961,0.345353635880444
20,0.284226419080591,0.42149707578349144,0.21253276760539702,0.34410585095968954
21,0.2827844450451399,0.4200689123132705,0.21217181966189416,0.3425204552375939
22,0.28066246456383537,0.4178575388130634,0.21166114557173946,0.34256649563057634
23,0.28013578491031843,0.4170694532210024,0.20892341651262775,0.340521426370763
24,0.27822363026824914,0.41507910694613837,0.20879794056377105,0.3397222686518751
25,0.2769512755210411,0.4133736186996606,0.20775656882793672,0.33868548532706544
